x,y
11.09,1
-18.49,1
7.40,1
-6.47,1
-15.72,1
-6.47,1
9.24,1
5.55,1
-1.85,1
-10.17,1
-12.02,1
15.72,1
1.85,1
-14.79,1
12.02,1
-4.62,1
-31.43,1
-7.40,1
-12.02,1
26.81,1
0.92,1
-10.17,1
12.94,1
5.55,1
-4.62,1
10.17,1
-11.09,1
3.70,1
-6.47,1
2.77,1
-16.64,1
5.55,1
-11.09,1
6.47,1
28.66,1
5.55,1
-0.92,1
8.32,1
-0.00,1
-14.79,1
-0.00,1
10.17,1
-4.62,1
-12.94,1
-10.17,1
5.55,1
-13.87,1
-24.96,1
8.32,1
-14.79,1
-10.17,1
-21.26,1
-2.77,1
5.55,1
-5.55,1
-9.24,1
5.55,1
2.77,1
4.62,1
9.24,1
-28.66,1
-2.77,1
-3.70,1
-16.64,1
-9.24,1
25.88,1
7.40,1
-38.83,1
2.77,1
15.72,1
-12.94,1
21.26,1
11.09,1
-10.17,1
9.24,1
30.51,1
-3.70,1
-2.77,1
22.19,1
-7.40,1
-24.96,1
3.70,1
-17.56,1
15.72,1
0.92,1
-3.70,1
-15.72,1
8.32,1
-4.62,1
3.70,1
-0.92,1
4.62,1
7.40,1
-3.70,1
15.72,1
7.40,1
4.62,1
-11.09,1
-11.09,1
-16.64,1
-24.96,1
37.90,1
-10.17,1
15.72,1
-3.70,1
1.85,1
17.56,1
8.32,1
-33.28,1
-12.94,1
-5.55,1
7.40,1
10.17,1
-49.92,1
12.94,1
-25.88,1
19.41,1
20.34,1
-12.02,1
-17.56,1
-30.51,1
-1.85,1
4.62,1
2.77,1
-0.92,1
14.79,1
16.64,1
9.24,1
-14.79,1
0.92,1
-13.87,1
12.94,1
-2.77,1
2.77,1
3.70,1
23.11,1
21.26,1
5.55,1
31.43,1
-5.55,1
16.64,1
-30.51,1
24.96,1
3.70,1
10.17,1
12.94,1
-0.00,1
-17.56,1
-12.02,1
19.41,1
3.70,1
-13.87,1
-6.47,1
13.87,1
-20.34,1
12.94,1
-1.85,1
-3.70,1
4.62,1
-4.62,1
27.73,1
11.09,1
-0.00,1
-0.92,1
7.40,1
-3.70,1
-11.09,1
-0.00,1
43.45,1
25.88,1
8.32,1
-10.17,1
-21.26,1
-16.64,1
10.17,1
-1.85,1
-22.19,1
3.70,1
2.77,1
-12.02,1
-24.96,1
7.40,1
-20.34,1
24.04,1
8.32,1
16.64,1
16.64,1
-5.55,1
-0.92,1
6.47,1
13.87,1
-3.70,1
-6.47,1
12.94,1
-13.87,1
-19.41,1
-1.85,1
-6.47,1
-6.47,1
9.24,1
24.96,1
13.87,1
-6.47,1
17.56,1
-19.41,1
-16.64,1
0.92,1
-22.19,1
-36.05,1
-21.26,1
10.17,1
-6.47,1
0.92,1
-8.32,1
-6.47,1
5.55,1
16.64,1
4.62,1
-2.77,1
22.19,1
-17.56,1
-10.17,1
24.04,1
11.09,1
0.92,1
4.62,1
-14.79,1
-24.04,1
2.77,1
10.17,1
-20.34,1
20.34,1
9.24,1
-5.55,1
-13.87,1
-26.81,1
-22.19,1
-9.24,1
-7.40,1
5.55,1
6.47,1
-3.70,1
23.11,1
-24.96,1
10.17,1
-14.79,1
0.00,1
1.85,1
5.55,1
1.85,1
-12.02,1
-9.24,1
-6.47,1
-9.24,1
-9.24,1
19.41,1
-1.85,1
-15.72,1
-5.55,1
4.62,1
-10.17,1
-27.73,1
-9.24,1
4.62,1
1.85,1
-16.64,1
11.09,1
5.55,1
-0.92,1
0.00,1
28.66,1
12.02,1
-6.47,1
22.19,1
-5.55,1
0.92,1
6.47,1
-5.55,1
-9.24,1
2.77,1
-12.94,1
2.77,1
0.92,1
26.81,1
15.72,1
3.70,1
18.49,1
1.85,1
6.47,1
4.62,1
21.26,1
-8.32,1
-4.62,1
6.47,1
15.72,1
12.94,1
-1.85,1
-18.49,1
-12.94,1
7.40,1
-21.26,1
9.24,1
24.96,1
-10.17,1
-19.41,1
13.87,1
8.32,1
14.79,1
-12.02,1
3.70,1
9.24,1
14.79,1
-8.32,1
17.56,1
-7.40,1
41.60,1
8.32,1
12.94,1
0.92,1
27.73,1
-12.02,1
-5.55,1
-39.75,1
36.05,1
6.47,1
-29.58,1
2.77,1
-0.00,1
1.85,1
8.32,1
-24.04,1
7.40,1
-11.09,1
15.72,1
-13.87,1
10.17,1
7.40,1
-11.09,1
7.40,1
-0.00,1
-0.00,1
4.62,1
-5.55,1
27.73,1
13.87,1
-23.11,1
-16.64,1
-3.70,1
-6.47,1
6.47,1
26.81,1
-4.62,1
-1.85,1
-7.40,1
-8.32,1
-25.88,1
5.55,1
-13.87,1
-21.26,1
12.94,1
18.49,1
-10.17,1
-26.81,1
-52.69,1
6.47,1
-5.55,1
-0.92,1
-13.87,1
1.85,1
28.66,1
-15.72,1
-22.19,1
8.32,1
-8.32,1
0.92,1
-4.62,1
-14.79,1
22.19,1
-6.47,1
-15.72,1
-21.26,1
1.85,1
-3.70,1
-6.47,1
22.19,1
-20.34,1
-4.62,1
4.62,1
1.85,1
-3.70,1
18.49,1
-10.17,1
25.88,1
-21.26,1
12.02,1
-0.92,1
9.24,1
28.66,1
-8.32,1
-13.87,1
-13.87,1
-8.32,1
13.87,1
10.17,1
