x,frequency
67.08,0.0006
43.83,0.0026
31.3,0.0033
-1.79,0.0037
49.19,0.0023
72.45,0.0011
-42.04,0.0035
7.16,0.0045
57.24,0.0024
-45.62,0.0031
23.26,0.0027
30.41,0.0029
19.68,0.0036
-38.46,0.0035
-27.73,0.0039
-30.41,0.0032
-7.16,0.0041
-8.94,0.0048
-51.88,0.0024
46.51,0.0027
-28.62,0.0037
52.77,0.0021
61.72,0.0022
-19.68,0.0027
4.47,0.0042
16.99,0.0045
-26.83,0.0036
8.05,0.0033
3.58,0.0035
10.73,0.0038
54.56,0.0017
1.79,0.0043
-47.4,0.0027
-99.28,0.0005
-42.93,0.0028
-0.0,0.0042
18.78,0.0041
12.52,0.0037
-58.14,0.0016
6.26,0.0043
-33.99,0.0032
42.04,0.0021
-31.3,0.0034
9.84,0.0039
41.14,0.0024
105.54,0.0005
-32.2,0.0028
42.93,0.0019
-101.96,0.0007
-39.35,0.003
2.68,0.0041
60.82,0.0021
50.09,0.0027
-50.09,0.0016
76.92,0.0007
24.15,0.0036
-43.83,0.0022
-2.68,0.0025
22.36,0.0036
29.52,0.0036
20.57,0.0029
-9.84,0.0037
58.14,0.0022
-12.52,0.0026
-59.93,0.0015
-24.15,0.0029
-53.67,0.0021
-8.05,0.0037
86.76,0.0008
-16.1,0.0033
-15.21,0.0033
-3.58,0.0032
71.55,0.0015
-36.67,0.0032
16.1,0.0044
135.06,0.0001
-13.42,0.0037
33.09,0.0031
-17.89,0.0051
-0.89,0.0038
76.03,0.001
45.62,0.0022
34.88,0.0028
-57.24,0.0019
-62.61,0.0017
14.31,0.0043
-16.99,0.0031
21.47,0.0038
-25.04,0.0032
-22.36,0.0032
93.91,0.0009
-5.37,0.0042
11.63,0.0046
-21.47,0.0047
27.73,0.0033
64.4,0.0017
-50.98,0.0016
-49.19,0.0019
-33.09,0.0026
130.59,0.0002
-84.08,0.0006
17.89,0.0034
95.7,0.0006
63.5,0.0023
-106.44,0.0005
51.88,0.003
32.2,0.003
62.61,0.0015
-89.44,0.0002
-81.39,0.001
39.35,0.0028
-61.72,0.0017
13.42,0.0043
15.21,0.0033
-97.49,0.0003
-104.65,0.0003
35.78,0.0033
59.93,0.0021
25.94,0.0032
-67.98,0.0012
59.03,0.0022
-29.52,0.0027
-48.3,0.0021
-93.02,0.0005
-34.88,0.0032
101.96,0.0005
55.45,0.0016
50.98,0.0022
-103.75,0.0003
-78.71,0.0006
0.89,0.0032
-14.31,0.0033
5.37,0.0035
78.71,0.0009
-18.78,0.0044
-6.26,0.004
91.23,0.0005
84.08,0.0006
84.97,0.0004
-23.26,0.0026
44.72,0.0025
47.4,0.001
-65.29,0.0013
25.04,0.003
33.99,0.0031
36.67,0.0041
-25.94,0.0037
-10.73,0.0033
-4.47,0.0036
48.3,0.0022
-55.45,0.0019
-11.63,0.0034
-132.38,0.0001
-63.5,0.0012
70.66,0.0009
-76.03,0.0007
8.94,0.0045
-52.77,0.0014
38.46,0.0028
-40.25,0.0024
-108.23,0.0005
77.82,0.0007
-44.72,0.0027
68.87,0.0015
-64.4,0.0012
-59.03,0.0017
-75.13,0.0011
-109.12,0.0004
-66.19,0.0015
-112.7,0.0003
-56.35,0.0022
65.29,0.001
-96.6,0.0008
-84.97,0.0005
-60.82,0.0017
28.62,0.0025
-46.51,0.0018
-54.56,0.0021
-71.55,0.0011
-114.49,0.0004
-92.13,0.0002
-105.54,0.0004
-76.92,0.001
67.98,0.0016
127.9,0.0001
-37.57,0.003
-98.39,0.0003
69.77,0.001
37.57,0.002
-20.57,0.0036
97.49,0.0007
53.67,0.0015
-35.78,0.0028
-41.14,0.0019
-179.78,0.0001
26.83,0.0023
56.35,0.0013
87.65,0.0001
-116.28,0.0002
73.34,0.0015
-77.82,0.0011
-70.66,0.0007
110.91,0.0001
139.53,0.0002
-82.29,0.0007
-73.34,0.0014
82.29,0.0006
40.25,0.0022
66.19,0.0015
-69.77,0.0009
146.69,0.0002
-68.87,0.0014
-94.81,0.0002
94.81,0.0003
-122.54,0.0003
-72.45,0.0013
-93.91,0.0005
79.6,0.0013
101.07,0.0002
120.75,0.0003
-128.8,0.0001
81.39,0.0005
75.13,0.0011
74.24,0.001
-87.65,0.0007
96.6,0.0002
112.7,0.0003
-80.5,0.0009
83.18,0.0009
-118.96,0.0003
89.44,0.0002
-95.7,0.0005
-67.08,0.0007
-74.24,0.0017
85.86,0.0006
-88.55,0.0005
90.34,0.0005
80.5,0.0005
-119.85,0.0004
-79.6,0.0008
107.33,0.0003
-111.8,0.0002
-127.9,0.0001
98.39,0.0004
-83.18,0.0015
-85.86,0.0005
92.13,0.0003
-91.23,0.0006
103.75,0.0002
-100.18,0.0003
118.06,0.0001
-150.26,0.0002
141.32,0.0001
-86.76,0.0006
149.37,0.0001
-120.75,0.0002
128.8,0.0001
118.96,0.0002
-123.43,0.0001
99.28,0.0003
88.55,0.0003
-90.34,0.0005
-130.59,0.0001
108.23,0.0002
126.11,0.0001
93.02,0.0006
116.28,0.0001
106.44,0.0001
121.64,0.0003
133.27,0.0001
-102.86,0.0002
115.38,0.0001
114.49,0.0001
125.22,0.0001
165.47,0.0001
-121.64,0.0002
109.12,0.0002
145.79,0.0001
-139.53,0.0001
137.74,0.0001
144.0,0.0001
-101.07,0.0003
-110.01,0.0001
-110.91,0.0001
100.18,0.0001
102.86,0.0001
