x,frequency
30.41,0.00624
5.37,0.00801
-6.26,0.00768
-28.62,0.00653
-60.82,0.00349
-96.6,0.00078
34.88,0.00619
45.62,0.00485
23.26,0.00686
-93.02,0.00094
1.79,0.00788
-19.68,0.00679
25.04,0.00667
-32.2,0.00637
-9.84,0.00786
-45.62,0.00501
-15.21,0.00744
25.94,0.00698
-13.42,0.00736
-58.14,0.00308
-14.31,0.00803
3.58,0.00805
16.99,0.00784
-36.67,0.0054
13.42,0.00775
-92.13,0.00094
-3.58,0.00759
-20.57,0.0074
0.0,0.0084
-16.99,0.00781
68.87,0.00231
-59.03,0.00323
28.62,0.00669
-38.46,0.0059
49.19,0.00441
-16.1,0.00789
-8.94,0.00832
-23.26,0.00717
-34.88,0.0058
40.25,0.00504
-17.89,0.00736
14.31,0.00778
8.94,0.00785
42.93,0.00502
55.45,0.00383
-55.45,0.00373
18.78,0.00665
-33.99,0.00583
-39.35,0.00559
77.82,0.00166
71.55,0.00211
60.82,0.00289
118.96,0.00026
42.04,0.00491
33.99,0.00594
6.26,0.00803
8.05,0.00726
-50.98,0.00411
-42.93,0.00505
-106.44,0.00051
15.21,0.00721
-105.54,0.00044
66.19,0.00262
-31.3,0.00679
-11.63,0.0077
-35.78,0.00599
21.47,0.00768
-68.87,0.00224
-7.16,0.00789
10.73,0.00782
27.73,0.00612
54.56,0.00391
-8.05,0.00771
-22.36,0.00666
-59.93,0.00328
-24.15,0.00657
51.88,0.00432
-10.73,0.00721
-56.35,0.0037
-40.25,0.00554
4.47,0.00833
87.65,0.00114
-61.72,0.00324
17.89,0.00703
64.4,0.00291
-25.94,0.00669
16.1,0.00722
-65.29,0.0027
-25.04,0.00669
50.98,0.00435
38.46,0.00547
-4.47,0.00785
-49.19,0.00437
-48.3,0.00456
-50.09,0.00445
52.77,0.00409
7.16,0.00745
-66.19,0.00283
32.2,0.00625
9.84,0.00763
-86.76,0.00124
74.24,0.00196
-12.52,0.00764
0.89,0.00826
50.09,0.0042
-2.68,0.00788
20.57,0.00696
-89.44,0.00107
11.63,0.00719
-76.92,0.00169
47.4,0.00458
46.51,0.0048
-76.03,0.00197
-29.52,0.00681
-67.98,0.00266
100.18,0.00072
62.61,0.00301
2.68,0.00839
31.3,0.006
67.08,0.00296
-52.77,0.00394
-67.08,0.00249
88.55,0.00137
-5.37,0.00771
22.36,0.00682
-46.51,0.00474
65.29,0.00282
-33.09,0.00612
29.52,0.00625
56.35,0.00321
-111.8,0.00037
48.3,0.00428
33.09,0.006
24.15,0.00691
-18.78,0.0071
86.76,0.00097
53.67,0.00402
-81.39,0.00169
26.83,0.00646
-131.48,8e-05
61.72,0.00308
-43.83,0.0052
-54.56,0.0037
39.35,0.00546
83.18,0.0013
-0.89,0.00801
59.93,0.00331
-80.5,0.00144
-1.79,0.00802
36.67,0.00602
59.03,0.00353
-103.75,0.00048
81.39,0.00151
35.78,0.00525
-69.77,0.00219
-91.23,0.00114
-125.22,0.00018
-27.73,0.00681
-144.0,4e-05
37.57,0.0055
-70.66,0.00226
-37.57,0.00596
57.24,0.00346
112.7,0.0004
-47.4,0.00489
72.45,0.00233
-101.07,0.00069
-42.04,0.00508
-26.83,0.00613
-30.41,0.00623
-21.47,0.00724
-44.72,0.00459
76.92,0.00166
-62.61,0.00253
178.89,2e-05
44.72,0.00451
58.14,0.00336
-82.29,0.00134
93.02,0.00101
19.68,0.00756
108.23,0.00042
43.83,0.00498
-123.43,0.00023
-87.65,0.00116
73.34,0.00204
-57.24,0.00363
63.5,0.0031
12.52,0.00721
-79.6,0.00154
89.44,0.0012
-78.71,0.00174
41.14,0.00489
-51.88,0.00453
-153.84,5e-05
-118.06,0.00021
-41.14,0.00525
-90.34,0.00105
-130.59,0.00017
-71.55,0.00233
119.85,0.00022
-84.97,0.00131
70.66,0.00204
78.71,0.00166
-74.24,0.00218
-121.64,0.00015
-134.16,0.00013
144.9,4e-05
-133.27,9e-05
-104.65,0.0006
110.91,0.0004
93.91,0.00071
82.29,0.00167
84.08,0.00118
80.5,0.00158
114.49,0.00029
-75.13,0.00217
-97.49,0.00073
90.34,0.0012
91.23,0.00082
67.98,0.00268
95.7,0.00086
-88.55,0.00124
