x,frequency
64.4,0.0021
52.77,0.003
-36.67,0.0036
0.0,0.0038
-26.83,0.0022
49.19,0.0027
1.79,0.0034
-6.26,0.0049
-35.78,0.0022
11.63,0.003
-47.4,0.0027
4.47,0.005
-16.1,0.0037
-10.73,0.0049
31.3,0.0033
-19.68,0.004
23.26,0.0032
98.39,0.0001
-20.57,0.003
-13.42,0.0029
-69.77,0.0012
66.19,0.0016
16.1,0.0029
-21.47,0.0029
56.35,0.002
-24.15,0.0041
24.15,0.0037
-91.23,0.0006
118.96,0.0001
-39.35,0.0027
12.52,0.0051
81.39,0.0009
-94.81,0.0007
16.99,0.0043
25.04,0.0021
-44.72,0.0028
9.84,0.0037
59.03,0.0021
-2.68,0.0037
3.58,0.0041
48.3,0.0023
37.57,0.0028
-46.51,0.0021
15.21,0.0027
-32.2,0.0037
-0.89,0.0045
10.73,0.0037
28.62,0.0038
25.94,0.0033
20.57,0.0039
32.2,0.0022
27.73,0.0036
-37.57,0.0029
7.16,0.0031
29.52,0.0026
109.12,0.0001
74.24,0.0014
22.36,0.0039
86.76,0.0003
-15.21,0.0058
93.91,0.0004
13.42,0.004
-27.73,0.0041
-75.13,0.0014
-22.36,0.0039
-51.88,0.0024
-18.78,0.0043
-48.3,0.0018
35.78,0.0034
17.89,0.0029
38.46,0.0029
-3.58,0.0036
-61.72,0.002
41.14,0.0032
33.09,0.0029
53.67,0.0022
-67.98,0.0012
-12.52,0.0045
-64.4,0.0018
54.56,0.0021
-23.26,0.0046
-17.89,0.0039
-25.04,0.0036
36.67,0.003
5.37,0.004
0.89,0.0053
-8.94,0.0038
-11.63,0.003
-1.79,0.004
-93.91,0.0005
-30.41,0.0024
-112.7,0.0003
-38.46,0.0033
-42.04,0.0027
-34.88,0.0023
-56.35,0.0018
6.26,0.0037
40.25,0.0028
-90.34,0.0007
30.41,0.0026
26.83,0.0048
87.65,0.001
-4.47,0.0033
-28.62,0.0028
95.7,0.0003
2.68,0.0044
-59.93,0.0016
-8.05,0.003
8.94,0.0044
-40.25,0.0021
-16.99,0.0033
46.51,0.002
70.66,0.001
21.47,0.0035
76.92,0.0007
-29.52,0.0033
34.88,0.0026
-83.18,0.0012
-92.13,0.0005
-93.02,0.0003
-9.84,0.004
-25.94,0.0028
65.29,0.0012
14.31,0.0031
78.71,0.0004
84.08,0.0005
43.83,0.0028
-33.99,0.0021
57.24,0.0016
-73.34,0.0009
-70.66,0.001
-43.83,0.0023
-128.8,0.0001
-31.3,0.0029
-79.6,0.0011
-14.31,0.0039
-97.49,0.0002
62.61,0.0016
18.78,0.004
-33.09,0.0032
-109.12,0.0002
55.45,0.0017
-62.61,0.001
-42.93,0.0026
73.34,0.0007
72.45,0.0012
33.99,0.0034
58.14,0.0015
-54.56,0.0024
47.4,0.0022
85.86,0.0013
-49.19,0.0023
-76.03,0.0012
-66.19,0.0012
19.68,0.0029
50.09,0.003
-65.29,0.0015
-55.45,0.0021
-5.37,0.0035
-50.09,0.0023
76.03,0.0005
-88.55,0.0007
42.04,0.0015
-7.16,0.0049
-89.44,0.0006
-133.27,0.0001
67.08,0.001
-77.82,0.0011
68.87,0.0018
50.98,0.0018
45.62,0.0023
59.93,0.002
63.5,0.0012
-50.98,0.0024
-53.67,0.0012
51.88,0.0011
84.97,0.0003
-63.5,0.0015
121.64,0.0002
-101.96,0.0003
39.35,0.0031
93.02,0.0006
-60.82,0.0014
61.72,0.0013
8.05,0.0033
-96.6,0.0003
-99.28,0.0004
-84.97,0.0006
-57.24,0.0032
-160.1,0.0001
96.6,0.0006
94.81,0.0002
89.44,0.0007
-45.62,0.0027
83.18,0.0012
-76.92,0.0005
-82.29,0.0008
-116.28,0.0004
75.13,0.0007
69.77,0.0011
-118.96,0.0001
-68.87,0.0012
67.98,0.0011
-107.33,0.0003
-52.77,0.0018
117.17,0.0004
-41.14,0.0021
-71.55,0.0009
-59.03,0.0019
-67.08,0.001
-161.0,0.0001
-58.14,0.0011
71.55,0.0013
-80.5,0.0005
-72.45,0.0008
60.82,0.0017
92.13,0.0003
80.5,0.0006
-85.86,0.0002
106.44,0.0008
-126.11,0.0001
-78.71,0.0009
104.65,0.0001
139.53,0.0001
-110.91,0.0002
108.23,0.0004
88.55,0.0004
-81.39,0.0013
101.07,0.0002
-106.44,0.0001
-98.39,0.0004
-74.24,0.001
-86.76,0.0006
-84.08,0.0005
82.29,0.0009
42.93,0.0012
90.34,0.0007
125.22,0.0002
112.7,0.0003
-95.7,0.0006
44.72,0.0021
-113.59,0.0005
-103.75,0.0002
-143.11,0.0001
102.86,0.0004
91.23,0.0005
-108.23,0.0001
-130.59,0.0002
122.54,0.0002
79.6,0.0007
143.11,0.0001
126.11,0.0001
-123.43,0.0001
-102.86,0.0003
105.54,0.0004
-87.65,0.0001
103.75,0.0001
-122.54,0.0001
154.74,0.0001
77.82,0.0008
99.28,0.0005
-117.17,0.0001
107.33,0.0002
-114.49,0.0002
-105.54,0.0001
130.59,0.0001
-140.42,0.0001
-125.22,0.0001
101.96,0.0005
100.18,0.0002
-124.33,0.0002
134.16,0.0001
113.59,0.0001
-110.01,0.0001
153.84,0.0001
111.8,0.0001
-100.18,0.0002
-147.58,0.0001
97.49,0.0001
116.28,0.0001
-101.07,0.0001
137.74,0.0001
-115.38,0.0001
-127.01,0.0001
