x,frequency
-33.09,0.00643
-56.35,0.00344
-22.36,0.00696
36.67,0.00546
-6.26,0.00829
65.29,0.00276
-0.0,0.00787
-78.71,0.00174
-50.98,0.00445
-45.62,0.00443
-15.21,0.0079
20.57,0.00773
116.28,0.00027
5.37,0.0082
23.26,0.00706
-64.4,0.00284
42.93,0.00495
-67.98,0.0026
6.26,0.00793
25.94,0.00657
-58.14,0.0036
-57.24,0.00323
14.31,0.00793
-24.15,0.0069
38.46,0.0052
-5.37,0.00816
-21.47,0.00749
-59.93,0.00328
-8.05,0.00762
12.52,0.00788
16.99,0.00739
-0.89,0.00757
24.15,0.00687
0.89,0.00869
-62.61,0.00308
-16.1,0.00726
-53.67,0.0038
34.88,0.00578
-25.94,0.00714
63.5,0.0032
3.58,0.0084
25.04,0.00659
21.47,0.00762
22.36,0.00689
-28.62,0.00668
-16.99,0.00761
1.79,0.00811
35.78,0.00572
88.55,0.00112
104.65,0.00058
-3.58,0.00838
-37.57,0.00543
16.1,0.00701
13.42,0.00728
39.35,0.00545
107.33,0.00037
-33.99,0.00603
-11.63,0.00738
15.21,0.00731
110.91,0.0003
90.34,0.00101
53.67,0.00413
-26.83,0.0068
9.84,0.00754
-101.96,0.00059
7.16,0.00798
-31.3,0.00628
-7.16,0.00773
-47.4,0.00479
-110.91,0.00042
94.81,0.00088
82.29,0.00141
-12.52,0.0075
69.77,0.00222
-34.88,0.00556
29.52,0.00656
-39.35,0.00535
60.82,0.00301
-13.42,0.0076
58.14,0.00335
47.4,0.00446
41.14,0.00541
-25.04,0.00705
-84.97,0.00125
18.78,0.00709
-40.25,0.00576
17.89,0.00791
-9.84,0.00779
67.08,0.00258
-63.5,0.00304
-4.47,0.00786
-8.94,0.00777
-23.26,0.00658
2.68,0.00811
-32.2,0.00595
-2.68,0.00812
26.83,0.00711
-19.68,0.00719
10.73,0.00782
32.2,0.00601
78.71,0.00169
48.3,0.00437
50.09,0.0045
33.99,0.00567
77.82,0.00166
44.72,0.00456
8.05,0.00792
-61.72,0.00299
112.7,0.00026
93.02,0.00104
-43.83,0.00496
-29.52,0.00633
75.13,0.00196
-42.93,0.00494
71.55,0.00231
124.33,0.00018
27.73,0.00653
-150.26,5e-05
43.83,0.00492
8.94,0.00764
30.41,0.00644
-59.03,0.00296
62.61,0.00295
51.88,0.00381
-65.29,0.00279
33.09,0.00598
86.76,0.00133
-36.67,0.00553
-30.41,0.00631
76.03,0.00166
80.5,0.00164
-44.72,0.005
84.08,0.00149
59.93,0.00297
-71.55,0.00202
61.72,0.00291
-54.56,0.00368
76.92,0.00185
59.03,0.00356
-27.73,0.0068
56.35,0.00342
-20.57,0.0068
-41.14,0.00539
-67.08,0.00232
19.68,0.0074
-1.79,0.00779
-70.66,0.00231
11.63,0.00711
-38.46,0.00543
-85.86,0.00149
54.56,0.00388
-72.45,0.00244
57.24,0.00377
-42.04,0.00479
40.25,0.0051
28.62,0.00645
-80.5,0.00168
-98.39,0.00086
-50.09,0.0042
93.91,0.00097
-92.13,0.00096
37.57,0.00558
55.45,0.0034
125.22,0.00014
-77.82,0.00175
50.98,0.00422
-10.73,0.00749
110.01,0.00043
-49.19,0.00404
45.62,0.00503
42.04,0.00505
74.24,0.00213
83.18,0.00165
-55.45,0.00376
4.47,0.00791
-48.3,0.00427
-101.07,0.00057
84.97,0.00139
-96.6,0.00083
118.06,0.00027
-18.78,0.00738
-17.89,0.00708
-14.31,0.00785
-66.19,0.00284
79.6,0.00154
-90.34,0.00093
73.34,0.00189
108.23,0.00051
-35.78,0.00552
46.51,0.0048
111.8,0.00037
-60.82,0.00332
-68.87,0.00247
66.19,0.00286
134.16,0.00014
-88.55,0.00121
-82.29,0.00162
-46.51,0.00463
81.39,0.00157
-52.77,0.00377
72.45,0.00215
-94.81,0.00083
-74.24,0.00198
67.98,0.0024
68.87,0.00231
99.28,0.00069
-51.88,0.00431
52.77,0.00422
31.3,0.00603
-86.76,0.0013
144.0,4e-05
49.19,0.00407
-87.65,0.00112
-73.34,0.00211
85.86,0.00139
-81.39,0.0016
-138.64,7e-05
70.66,0.00226
95.7,0.00068
-84.08,0.00134
130.59,0.00016
-107.33,0.00054
-97.49,0.00067
113.59,0.00028
-79.6,0.00149
-103.75,0.00059
-75.13,0.00186
-126.11,0.00019
92.13,0.00096
-76.03,0.00174
-91.23,0.00104
-114.49,0.00029
-93.91,0.0009
-105.54,0.00062
102.86,0.0005
87.65,0.00124
98.39,0.00065
64.4,0.00309
-69.77,0.00245
100.18,0.00076
89.44,0.0012
119.85,0.00031
-76.92,0.00201
-83.18,0.00135
-106.44,0.0005
-136.85,6e-05
-111.8,0.00034
-99.28,0.00054
103.75,0.00056
97.49,0.00069
-127.9,0.00013
-127.01,0.00017
-118.96,0.00015
105.54,0.00059
106.44,0.00044
123.43,0.00024
135.06,0.00012
-112.7,0.0004
-100.18,0.00077
-124.33,0.0001
101.96,0.00049
96.6,0.00071
-95.7,0.00063
-123.43,0.00013
158.31,4e-05
131.48,0.00013
-102.86,0.0007
-129.69,0.00011
-120.75,0.0002
-108.23,0.00041
115.38,0.00024
114.49,0.00021
91.23,0.00101
122.54,0.00018
-104.65,0.00055
-119.85,0.00016
-110.01,0.00033
-148.47,3e-05
-121.64,0.00018
120.75,0.00025
143.11,5e-05
146.69,3e-05
-109.12,0.0004
109.12,0.00037
151.16,2e-05
-167.26,2e-05
118.96,0.00025
101.07,0.00044
-122.54,0.00019
-116.28,0.00018
139.53,7e-05
-115.38,0.00033
-89.44,0.00106
-137.74,6e-05
-158.31,2e-05
-135.06,0.00011
117.17,0.00031
-93.02,0.00079
-140.42,5e-05
-113.59,0.00038
-130.59,0.00014
-118.06,0.00022
-117.17,0.00019
-144.0,8e-05
147.58,8e-05
138.64,6e-05
-141.32,6e-05
-152.05,2e-05
-139.53,9e-05
-132.38,8e-05
-145.79,2e-05
127.01,8e-05
144.9,0.0001
128.8,0.00016
-161.89,2e-05
132.38,7e-05
-163.68,2e-05
-149.37,3e-05
-135.95,0.00011
135.95,5e-05
126.11,0.00017
127.9,7e-05
