x,frequency
33.398,0.001
90.999,0.001
148.601,0.001
14.497,0.001
99.103,0.001
36.993,0.001
167.487,0.001
163.890,0.001
70.294,0.001
98.199,0.001
135.994,0.001
153.997,0.001
76.597,0.001
15.401,0.002
97.303,0.001
131.499,0.001
189.088,0.001
168.385,0.001
170.194,0.001
91.909,0.001
104.509,0.002
170.182,0.001
172.889,0.001
112.614,0.001
216.979,0.001
102.711,0.001
110.815,0.001
95.501,0.002
55.001,0.001
129.711,0.001
48.700,0.001
125.204,0.001
151.297,0.001
122.501,0.001
60.395,0.001
155.796,0.001
97.309,0.001
199.890,0.001
141.405,0.001
52.299,0.001
45.092,0.001
67.597,0.001
93.703,0.001
127.008,0.003
152.189,0.001
180.093,0.001
156.694,0.001
128.813,0.001
63.093,0.002
113.507,0.002
109.001,0.002
118.011,0.001
151.301,0.001
81.108,0.001
19.902,0.001
75.690,0.001
68.490,0.001
55.903,0.001
104.513,0.001
86.501,0.003
108.998,0.001
67.606,0.001
120.705,0.002
105.404,0.001
170.191,0.001
166.584,0.001
85.599,0.001
161.195,0.001
192.675,0.001
59.492,0.001
135.092,0.001
171.092,0.001
142.294,0.001
35.196,0.001
86.499,0.002
126.103,0.003
100.915,0.001
106.306,0.001
137.801,0.001
95.506,0.001
76.591,0.001
55.900,0.001
46.899,0.001
72.097,0.001
189.987,0.001
22.592,0.001
92.810,0.001
67.596,0.001
154.889,0.002
177.394,0.001
100.903,0.002
90.095,0.001
152.193,0.001
75.710,0.001
38.801,0.001
88.303,0.001
109.002,0.001
36.093,0.001
157.587,0.001
145.898,0.001
73.895,0.001
65.799,0.001
116.211,0.001
20.801,0.001
119.804,0.001
9.994,0.001
107.211,0.001
88.295,0.001
35.198,0.001
144.096,0.001
88.301,0.002
19.900,0.002
101.801,0.001
82.902,0.001
168.399,0.001
38.799,0.001
200.769,0.001
23.499,0.001
52.290,0.001
144.101,0.002
124.307,0.001
56.797,0.001
151.299,0.002
29.802,0.001
139.606,0.001
115.301,0.001
70.293,0.001
90.098,0.001
66.700,0.001
55.897,0.002
7.302,0.001
67.602,0.001
49.600,0.001
79.300,0.001
103.600,0.001
116.207,0.001
132.406,0.001
112.609,0.001
112.602,0.001
144.106,0.001
86.492,0.001
154.899,0.001
44.195,0.002
44.197,0.001
117.111,0.001
135.998,0.001
174.684,0.001
62.198,0.001
44.198,0.001
127.898,0.001
114.397,0.001
88.304,0.001
