x,y
-18.78,1
-38.46,1
-27.73,1
-34.88,1
49.19,1
-69.77,1
46.51,1
11.63,1
17.89,1
22.36,1
10.73,1
-61.72,1
59.93,1
-23.26,1
2.68,1
-7.16,1
55.45,1
-19.68,1
-53.67,1
-2.68,1
-39.35,1
30.41,1
15.21,1
-26.83,1
-42.93,1
-17.89,1
39.35,1
-60.82,1
38.46,1
10.73,1
1.79,1
46.51,1
50.09,1
28.62,1
13.42,1
-62.61,1
-6.26,1
0.00,1
25.04,1
-56.35,1
-137.74,1
40.25,1
48.30,1
-26.83,1
12.52,1
27.73,1
11.63,1
-1.79,1
1.79,1
-28.62,1
6.26,0
16.10,0
-39.35,0
-75.13,0
34.88,0
0.89,0
-57.24,0
31.30,0
41.14,0
53.67,0
42.93,0
8.05,0
-24.15,0
-75.13,0
14.31,0
-13.42,0
66.19,0
-70.66,0
-71.55,0
-46.51,0
-66.19,0
0.00,0
29.52,0
37.57,0
-41.14,0
67.98,0
98.39,0
16.99,0
67.08,0
-29.52,0
-18.78,0
-18.78,0
2.68,0
93.91,0
-22.36,0
23.26,0
13.42,0
-1.79,0
-5.37,0
76.03,0
-11.63,0
-42.04,0
36.67,0
-9.84,0
12.52,0
-25.04,0
95.70,0
59.93,0
29.52,0
-13.42,0
