x,y
42.847,1
41.950,1
69.676,1
121.549,1
15.115,1
98.288,1
127.813,1
77.717,1
71.467,1
100.079,1
11.540,1
-28.712,1
142.124,1
119.755,1
58.049,1
71.469,1
64.308,1
50.003,1
97.384,1
88.447,1
20.483,1
-17.981,1
59.833,1
102.761,1
35.690,1
74.148,1
0.805,1
20.484,1
40.166,1
53.575,1
-19.764,1
64.313,1
40.164,1
63.420,1
5.278,1
55.368,1
24.955,1
-45.696,1
107.242,1
102.761,1
-17.974,1
7.962,1
96.493,1
15.116,1
-35.866,1
9.753,1
129.595,1
64.312,1
22.271,1
167.183,1
87.560,1
104.547,1
-34.072,1
78.617,1
41.054,1
-22.451,1
101.866,1
56.262,1
99.183,1
100.969,1
126.015,1
-2.771,1
56.261,1
58.053,1
73.255,1
-0.983,1
16.905,1
61.629,1
29.425,1
32.113,1
-45.702,1
23.166,1
42.845,1
104.556,1
77.715,1
-20.659,1
87.566,1
117.071,1
32.111,1
86.674,1
61.632,1
-44.809,1
101.862,1
43.746,1
72.354,1
131.387,1
97.403,1
74.142,1
87.556,1
53.577,1
30.325,1
42.847,1
108.121,1
86.672,1
9.752,1
87.567,1
16.904,1
38.371,1
38.375,1
65.197,1
39.267,1
41.942,1
-22.450,1
40.158,1
90.248,1
68.782,1
144.815,1
30.324,1
75.041,1
109.923,1
-51.067,1
87.561,1
29.432,1
84.874,1
78.621,1
83.983,1
74.149,1
22.272,1
100.977,1
91.130,1
147.490,1
93.823,1
35.691,1
16.009,1
18.692,1
81.289,1
54.473,1
-0.984,1
109.906,1
46.424,1
109.910,1
7.962,1
43.743,1
156.440,1
100.976,1
104.552,1
65.206,1
175.237,1
16.904,1
-2.772,1
61.633,1
147.488,1
108.127,1
-31.395,1
-49.277,1
40.162,1
57.154,1
54.471,1
-14.399,1
55.369,1
116.178,1
-9.928,1
33.899,1
56.263,1
40.160,1
32.113,1
-51.960,1
21.378,1
47.322,1
-24.240,1
33.010,1
95.611,1
-14.398,1
79.498,1
-36.759,1
148.384,1
61.626,1
71.467,1
-59.118,1
29.427,1
57.159,1
104.556,1
-32.285,1
7.068,1
81.299,1
13.327,1
39.267,1
29.429,1
-14.400,1
77.725,1
109.017,1
11.544,1
-0.089,1
112.594,1
24.957,1
88.442,1
60.733,1
111.714,1
58.050,1
19.585,1
74.150,1
43.743,1
46.423,1
-24.235,1
67.888,1
-27.816,1
89.343,1
10.646,1
77.723,1
58.050,1
33.006,1
74.137,1
29.427,1
-45.700,1
50.896,1
66.100,1
21.385,1
52.683,1
71.460,1
75.933,1
36.587,1
72.364,1
-29.608,1
-60.014,1
-2.772,1
41.954,1
70.575,1
27.638,1
26.745,1
93.819,1
78.615,1
80.404,1
168.955,1
44.634,1
-7.243,1
-61.802,1
75.934,1
83.094,1
-14.394,1
95.604,1
77.727,1
110.815,1
-28.711,1
16.904,1
103.656,1
132.292,1
51.791,1
3.489,1
84.882,1
32.111,1
8.857,1
-48.383,1
43.745,1
73.260,1
-19.766,1
74.150,1
-9.927,1
60.735,1
63.415,1
54.471,1
142.129,1
47.322,1
50.895,1
32.111,1
66.098,1
50.899,1
86.664,1
36.590,1
67.890,1
75.037,1
76.833,1
62.521,1
109.025,1
18.694,1
67.889,1
77.716,1
78.622,1
35.687,1
80.396,1
61.630,1
155.549,1
65.211,1
10.643,1
88.460,1
21.377,1
9.751,1
98.282,1
-32.292,1
66.100,1
92.924,1
62.519,1
-3.667,1
-3.665,1
-22.451,1
66.998,1
1.704,1
44.639,1
94.710,1
50.894,1
64.310,1
51.791,1
-5.456,1
37.481,1
34.792,1
71.455,1
102.758,1
-9.925,1
-20.658,1
100.077,1
-23.343,1
74.147,1
103.662,1
-1.877,1
6.173,1
10.643,1
81.297,1
58.943,1
59.833,1
15.116,1
73.243,1
86.665,1
6.172,1
70.570,1
66.104,1
16.906,1
53.577,1
36.588,1
16.013,1
21.378,1
0.807,1
67.886,1
40.165,1
66.993,1
37.474,1
55.371,1
8.853,1
91.128,1
74.151,1
79.508,1
38.373,1
21.373,1
127.808,1
88.454,1
8.856,1
-9.034,1
66.100,1
15.116,1
86.670,1
54.472,1
38.374,1
34.796,1
103.660,1
53.578,1
22.270,1
24.954,1
116.173,1
12.431,1
